title,rname,raddress
Breakfast,Lonesome Dove,290 Dovetail Street
Lunch,Lonesome Dove,290 Dovetail Street
Dinner,Lonesome Dove,290 Dovetail Street
All Day,Melting Pot,0961 Huxley Junction
All Day,Easy Eats,0 Darwin Circle
All Day,Macro Bites,900 Mandrake Road
All Day,Grubber Hub,8 Vidon Plaza
All Day,Cheerful Rhino,009 Truax Trail
All Day,Home Cooking Experience,4 Clyde Gallagher Terrace
All Day,Fare & Feed,471 Division Circle
All Day,Golden Palace,58637 Jackson Drive
All Day,Soups & Snacks,81 Green Ridge Pass
All Day,Quick Bite,31323 Forest Dale Crossing
All Day,Fast & Friendly,625 Pleasure Way
All Day,Big Bites,508 Barnett Pass
All Day,Blind Pig,6604 Ohio Hill
All Day,Eatable,3 Judy Trail
All Day,Eatery,21 Hoffman Center
All Day,Goodies,676 Onsgard Avenue
All Day,Lard Boy,800 Sheridan Drive
All Day,Many Foods,3529 International Street
All Day,Me Likey,094 Ludington Way
All Day,Wonton Express,924 Loftsgordon Lane
All Day,Great Burger,0920 La Follette Hill
All Day,Awesome Burger,12 South Trail
All Day,Amazing Sauce,77156 Evergreen Point
All Day,Asian Express,38 Randy Way
All Day,Fearless Wander,942 Thackeray Street
Breakfast,A Night In Paris,554 Cambridge Crossing
Lunch/Dinner,A Night In Paris,554 Cambridge Crossing
